Cuisine 1,Cuisine 2,Item_count,item
chinese,italian,7,frozen vegetables frozen dessert semi-finished bread margarine long life bakery product candy detergent
mexican,none,2,other vegetables canned beer
indian,chinese,14,root vegetables herbs other vegetables whole milk yogurt whipped/sour cream frozen vegetables frozen fruits baking powder pickled vegetables fruit/vegetable juice sparkling wine long life bakery product shopping bags
british,vietnamese,7,fish frozen meals domestic eggs bottled beer liquor (appetizer) dishes newspapers
thai,vietnamese,2,UHT-milk canned fish
italian,southern_us,6,berries oil bottled water cake bar house keeping products shopping bags
brazilian,filipino,1,condensed milk
southern_us,mexican,3,salt margarine canned beer
mexican,chinese,2,canned beer long life bakery product
indian,mexican,8,pip fruit root vegetables frozen vegetables frozen potato products pastry fruit/vegetable juice napkins bags
italian,cajun_creole,1,sausage
italian,southern_us,2,sausage frozen potato products
italian,french,3,frozen meals soda specialty chocolate
jamaican,french,2,berries brown bread
mexican,southern_us,2,liquor napkins
southern_us,greek,4,yogurt beverages soda shopping bags
indian,greek,1,yogurt
vietnamese,brazilian,13,citrus fruit tropical fruit pip fruit condensed milk frozen meals meat spreads canned fish coffee canned beer salty snack cling film/bags kitchen towels shopping bags
italian,filipino,2,brown bread seasonal products
russian,southern_us,7,ham onions whipped/sour cream hard cheese bottled beer hygiene articles shopping bags
british,french,3,domestic eggs waffles napkins
mexican,southern_us,7,tropical fruit yogurt UHT-milk cream cheese processed cheese white bread sugar
italian,southern_us,2,rolls/buns white bread
chinese,southern_us,2,pip fruit bottled water
indian,greek,5,tropical fruit yogurt salt specialty vegetables bottled beer
indian,southern_us,1,photo/film
italian,french,2,bottled beer prosecco
indian,southern_us,4,whole milk fruit/vegetable juice chewing gum shopping bags
french,italian,4,chicken tropical fruit domestic eggs white wine
mexican,french,1,canned beer
indian,irish,2,onions whole milk
moroccan,southern_us,5,other vegetables dessert white bread dog food flower soil/fertilizer
indian,southern_us,7,frankfurter tropical fruit other vegetables whole milk butter frozen meals fruit/vegetable juice
indian,southern_us,2,other vegetables whole milk
french,italian,1,white wine
mexican,italian,2,other vegetables cream cheese
mexican,french,1,canned beer
southern_us,russian,10,tropical fruit other vegetables whole milk mayonnaise brown bread canned fish soda misc. beverages bottled beer dental care
mexican,chinese,3,fruit/vegetable juice long life bakery product newspapers
french,jamaican,5,berries rolls/buns pastry fruit/vegetable juice canned beer
mexican,french,5,other vegetables brown bread pastry bottled water canned beer
italian,filipino,1,other vegetables
mexican,korean,6,meat yogurt cream cheese brown bread meat spreads canned fish
indian,french,4,other vegetables whole milk dessert chewing gum
chinese,french,2,ham light bulbs
italian,southern_us,2,chocolate specialty chocolate
british,russian,4,frankfurter whole milk white bread brown bread
southern_us,mexican,8,processed cheese white bread sugar cat food soda fruit/vegetable juice candy shopping bags
southern_us,italian,1,rolls/buns
southern_us,chinese,1,chewing gum
italian,french,2,root vegetables herbs
southern_us,greek,5,tropical fruit dessert yogurt soda candy
mexican,chinese,1,detergent
mexican,southern_us,7,tropical fruit pip fruit processed cheese rolls/buns misc. beverages fruit/vegetable juice candy
indian,southern_us,3,sausage yogurt cat food
irish,southern_us,2,soda liquor (appetizer)
southern_us,italian,1,semi-finished bread
italian,french,8,frankfurter other vegetables rolls/buns white bread soda white wine chocolate detergent
southern_us,chinese,3,sausage frozen meals shopping bags
southern_us,italian,4,citrus fruit tropical fruit pip fruit chewing gum
southern_us,indian,5,whole milk yogurt pastry sweet spreads soda
mexican,french,2,misc. beverages canned beer
indian,southern_us,4,tropical fruit whole milk newspapers shopping bags
french,irish,5,beef other vegetables bottled beer red/blush wine shopping bags
italian,filipino,1,other vegetables
italian,british,11,frankfurter tropical fruit pip fruit dessert beverages domestic eggs flour margarine Instant food products canned fruit jam
southern_us,japanese,7,sausage pip fruit curd soda canned beer cake bar shopping bags
indian,mexican,5,whole milk yogurt spread cheese bottled water soda
italian,french,9,sausage ham pip fruit onions other vegetables hard cheese white bread bottled water shopping bags
french,southern_us,10,frankfurter yogurt UHT-milk frozen vegetables coffee soda fruit/vegetable juice white wine chewing gum shopping bags
mexican,british,1,bottled beer
mexican,chinese,1,cereals
southern_us,italian,1,chocolate marshmallow
southern_us,italian,2,other vegetables semi-finished bread
mexican,vietnamese,3,meat other vegetables salty snack
southern_us,brazilian,1,cocoa drinks
italian,southern_us,6,sausage tropical fruit butter frozen meals pasta fruit/vegetable juice
indian,russian,2,whole milk brown bread
italian,french,2,coffee instant coffee
indian,southern_us,5,tropical fruit whole milk domestic eggs red/blush wine house keeping products
southern_us,french,7,sausage UHT-milk brown bread oil canned beer brandy shopping bags
french,cajun_creole,2,rolls/buns pastry
italian,southern_us,2,ice cream semi-finished bread
filipino,italian,4,liver loaf whole milk rolls/buns soda
mexican,russian,10,frankfurter hamburger meat tropical fruit other vegetables whole milk yogurt whipped/sour cream rolls/buns kitchen towels newspapers
southern_us,chinese,2,chewing gum seasonal products
southern_us,italian,4,soda salty snack cake bar candy
southern_us,irish,6,butter dessert yogurt rolls/buns margarine chewing gum
italian,southern_us,4,chicken tropical fruit pip fruit other vegetables
southern_us,italian,6,sausage rolls/buns bottled water soda newspapers shopping bags
irish,southern_us,1,soda
southern_us,indian,1,cat food
brazilian,southern_us,7,pip fruit butter milk UHT-milk ice cream rolls/buns male cosmetics newspapers
italian,french,2,soft cheese ice cream
indian,southern_us,3,whole milk white bread newspapers
irish,southern_us,1,soda
southern_us,italian,1,chicken
moroccan,italian,6,other vegetables curd pastry pasta hygiene articles flower (seeds)
italian,french,2,pastry instant coffee
italian,southern_us,5,ice cream bottled beer prosecco dishes shopping bags
italian,cajun_creole,1,sausage
french,british,4,citrus fruit yogurt whipped/sour cream shopping bags
italian,southern_us,1,chocolate
mexican,chinese,1,beverages
italian,indian,1,bottled water
italian,cajun_creole,3,sausage other vegetables dessert
russian,french,1,whipped/sour cream
indian,cajun_creole,8,root vegetables other vegetables whole milk rolls/buns sugar cereals soda soap
italian,southern_us,2,ice cream soda
indian,british,13,meat pip fruit whole milk curd yogurt frozen meals pastry potato products fruit/vegetable juice bottled beer salty snack long life bakery product newspapers
italian,mexican,12,frankfurter ham tropical fruit pip fruit grapes other vegetables whole milk yogurt sliced cheese frozen meals frozen fish brown bread
mexican,southern_us,9,tropical fruit dessert yogurt sliced cheese cream cheese rolls/buns brown bread canned vegetables fruit/vegetable juice
chinese,british,8,chicken root vegetables other vegetables whole milk frozen vegetables domestic eggs brown bread canned vegetables
irish,southern_us,4,root vegetables other vegetables white bread baking powder
mexican,southern_us,4,other vegetables fruit/vegetable juice salty snack napkins
moroccan,southern_us,2,coffee tea
irish,southern_us,1,soda
french,southern_us,5,chicken pork margarine specialty fat bottled beer
french,italian,1,ice cream
mexican,italian,3,hamburger meat cream cheese brown bread
southern_us,italian,2,pork rolls/buns
french,italian,1,ice cream
italian,irish,4,other vegetables coffee soda dental care
mexican,british,1,bottled beer
chinese,mexican,2,misc. beverages dishes
indian,irish,6,beef tropical fruit whole milk margarine soda candles
indian,italian,3,whole milk meat spreads fruit/vegetable juice
mexican,french,3,chicken yogurt whipped/sour cream
italian,southern_us,2,dessert specialty chocolate
french,brazilian,3,pastry margarine coffee
indian,british,3,sausage whole milk yogurt
chinese,indian,2,onions frozen meals
british,brazilian,5,tropical fruit other vegetables UHT-milk domestic eggs potted plants
moroccan,french,1,flower soil/fertilizer
french,italian,1,ice cream
irish,southern_us,1,soda
french,southern_us,2,pastry soda
indian,french,14,pip fruit root vegetables whole milk butter curd yogurt UHT-milk specialty cheese white bread margarine cereals pickled vegetables coffee cake bar
indian,mexican,6,meat other vegetables whole milk hard cheese fruit/vegetable juice long life bakery product
indian,russian,4,whole milk hard cheese rolls/buns bottled water
mexican,chinese,1,zwieback
mexican,indian,1,liquor (appetizer)
indian,southern_us,2,pip fruit whole milk
mexican,french,1,canned beer
italian,southern_us,2,Instant food products soda
greek,southern_us,2,pork yogurt
french,indian,1,butter milk
chinese,mexican,1,oil
italian,southern_us,6,meat pork butter brown bread specialty chocolate kitchen towels
italian,southern_us,8,tropical fruit pip fruit whole milk cream cheese frozen vegetables ice cream bottled water shopping bags
mexican,irish,2,soda canned beer
irish,southern_us,1,soda
indian,korean,3,meat whole milk yogurt
french,southern_us,9,frankfurter tropical fruit other vegetables dessert UHT-milk cream cheese brown bread pastry hygiene articles
southern_us,french,2,whipped/sour cream frozen vegetables
italian,indian,9,tropical fruit root vegetables other vegetables whole milk ice cream pasta canned vegetables soda salty snack
italian,cajun_creole,2,sausage newspapers
french,russian,3,tropical fruit whipped/sour cream hygiene articles
mexican,southern_us,3,pork processed cheese canned beer
moroccan,indian,2,bottled beer flower (seeds)
italian,french,7,whole milk cat food pet care coffee soda misc. beverages chocolate
indian,mexican,1,frozen vegetables
mexican,italian,7,whole milk processed cheese soda cake bar chocolate specialty bar shopping bags
italian,mexican,8,sausage tropical fruit root vegetables other vegetables hard cheese fruit/vegetable juice long life bakery product waffles
chinese,irish,10,pork other vegetables whole milk frozen vegetables brown bread roll products canned vegetables sparkling wine chocolate dental care
russian,southern_us,5,beef whole milk curd white bread napkins
russian,southern_us,8,sausage chicken hamburger meat other vegetables whole milk butter milk whipped/sour cream white bread
southern_us,italian,13,tropical fruit pip fruit UHT-milk cream cheese pasta sauces baking powder cat food pet care bottled water bottled beer salty snack shopping bags
indian,french,8,whole milk yogurt domestic eggs rolls/buns fruit/vegetable juice long life bakery product specialty chocolate specialty bar
italian,french,3,bottled water waffles chocolate
italian,mexican,2,beef specialty chocolate
italian,filipino,1,brown bread
mexican,british,1,bottled beer
southern_us,indian,9,sausage tropical fruit yogurt frozen meals cat food bottled water soda bottled beer waffles
french,mexican,9,pip fruit other vegetables whole milk butter whipped/sour cream sliced cheese pastry hygiene articles napkins
southern_us,italian,2,frankfurter rolls/buns
southern_us,indian,2,UHT-milk mustard
indian,russian,2,whole milk brown bread
british,russian,2,butter milk brown bread
indian,southern_us,1,whole milk
indian,southern_us,5,herbs whole milk curd cat food soda
indian,chinese,8,tropical fruit root vegetables other vegetables whole milk yogurt rice oil bathroom cleaner
chinese,mexican,3,chicken rolls/buns bottled water
brazilian,mexican,6,curd cream cheese frozen fruits margarine cocoa drinks soda
indian,italian,7,pork beef other vegetables whole milk yogurt margarine fruit/vegetable juice
mexican,italian,1,hamburger meat
southern_us,italian,5,hamburger meat onions ice cream misc. beverages shopping bags
chinese,indian,11,root vegetables onions dessert mayonnaise brown bread salt canned fish bottled water fruit/vegetable juice bottled beer popcorn
italian,french,8,butter spread cheese ice cream rolls/buns soda long life bakery product chocolate chocolate marshmallow
french,vietnamese,4,UHT-milk sugar coffee canned beer
indian,southern_us,2,whole milk cat food
british,french,14,sausage meat chicken beef citrus fruit root vegetables herbs whole milk butter domestic eggs roll products coffee long life bakery product waffles
mexican,french,2,canned beer specialty bar
indian,russian,4,whole milk rolls/buns canned beer chewing gum
chinese,mexican,1,oil
italian,mexican,15,sausage meat berries onions other vegetables soft cheese hard cheese cream cheese mayonnaise frozen meals domestic eggs rolls/buns mustard canned fish shopping bags
southern_us,japanese,6,frankfurter mayonnaise margarine mustard ketchup seasonal products
mexican,italian,2,sliced cheese rolls/buns
indian,southern_us,9,sausage meat whole milk curd dessert yogurt brown bread dental care male cosmetics
irish,indian,9,chicken pip fruit whole milk dessert margarine soda canned beer liquor newspapers
indian,british,2,butter milk yogurt
french,italian,9,pip fruit yogurt cream cheese meat spreads coffee specialty chocolate seasonal products cookware shopping bags
italian,mexican,4,sausage berries sliced cheese cream cheese
greek,indian,2,butter yogurt
southern_us,mexican,2,pork other vegetables
southern_us,indian,1,cat food
mexican,southern_us,11,hamburger meat berries other vegetables UHT-milk hard cheese processed cheese canned vegetables soda waffles specialty bar newspapers
indian,southern_us,3,tropical fruit whole milk newspapers
indian,none,6,whole milk yogurt beverages rolls/buns bottled water fruit/vegetable juice
mexican,indian,2,softener newspapers
french,southern_us,3,rolls/buns pastry semi-finished bread
indian,southern_us,2,tropical fruit whole milk
french,irish,8,dessert soft cheese brown bread pastry soda long life bakery product hygiene articles shopping bags
mexican,chinese,1,newspapers
italian,french,6,hamburger meat herbs UHT-milk domestic eggs oil chocolate
southern_us,italian,1,chicken
indian,italian,3,other vegetables whole milk specialty cheese
mexican,southern_us,1,fruit/vegetable juice
french,southern_us,5,chocolate specialty bar candy napkins flower (seeds)
southern_us,none,2,margarine misc. beverages
southern_us,moroccan,1,cling film/bags
italian,french,7,chicken butter frozen vegetables soda misc. beverages chocolate specialty chocolate
southern_us,indian,2,salt salty snack
mexican,chinese,1,newspapers
vietnamese,indian,1,root vegetables
italian,southern_us,5,pip fruit misc. beverages chewing gum specialty chocolate shopping bags
italian,mexican,5,sausage spread cheese domestic eggs soda shopping bags
indian,southern_us,3,other vegetables whole milk salty snack
indian,russian,13,tropical fruit pip fruit root vegetables onions other vegetables whole milk whipped/sour cream misc. beverages fruit/vegetable juice red/blush wine salty snack detergent shopping bags
mexican,chinese,1,newspapers
mexican,southern_us,3,frankfurter processed cheese soda
mexican,southern_us,1,fruit/vegetable juice
indian,brazilian,6,ham whole milk hard cheese margarine coffee fruit/vegetable juice
russian,indian,14,sausage pork beef tropical fruit other vegetables whole milk butter milk whipped/sour cream roll products bottled water detergent hygiene articles napkins house keeping products
indian,british,3,frankfurter beef whole milk
italian,french,4,fish UHT-milk cream cheese ice cream
french,southern_us,2,chewing gum specialty bar
southern_us,cajun_creole,5,citrus fruit rolls/buns soda chewing gum shopping bags
mexican,french,1,canned beer
mexican,french,1,canned beer
mexican,french,1,canned beer
southern_us,irish,3,UHT-milk soda detergent
british,italian,9,citrus fruit pip fruit other vegetables whole milk curd frozen fish domestic eggs jam dishes
indian,french,4,whole milk bottled beer liquor (appetizer) hygiene articles
southern_us,japanese,1,citrus fruit
mexican,french,1,canned beer
mexican,french,1,dessert
indian,russian,7,ham whole milk dessert rolls/buns misc. beverages waffles skin care
mexican,vietnamese,3,meat rolls/buns misc. beverages
southern_us,italian,3,pip fruit rolls/buns snack products
british,mexican,5,UHT-milk domestic eggs rolls/buns fruit/vegetable juice newspapers
mexican,french,1,canned beer
indian,brazilian,4,other vegetables whole milk butter milk margarine
indian,vietnamese,4,whole milk butter milk cream cheese coffee
southern_us,mexican,8,sausage pip fruit root vegetables whole milk spread cheese rolls/buns margarine bottled water
mexican,french,1,canned beer
indian,greek,2,yogurt rolls/buns
italian,french,17,root vegetables UHT-milk domestic eggs pasta margarine soups cat food coffee bottled water soda misc. beverages sparkling wine specialty chocolate specialty bar seasonal products female sanitary products newspapers
mexican,british,1,bottled beer
southern_us,mexican,2,canned beer shopping bags
italian,southern_us,8,pork tropical fruit pip fruit other vegetables whipped/sour cream chocolate chocolate marshmallow shopping bags
mexican,french,1,canned beer
irish,southern_us,2,pip fruit soda
italian,mexican,6,meat pork soft cheese oil margarine seasonal products
filipino,southern_us,4,pork pip fruit frozen vegetables brown bread
southern_us,irish,7,other vegetables whole milk mayonnaise frozen potato products pastry margarine baking powder
indian,british,2,whole milk domestic eggs
italian,cajun_creole,2,sausage bottled water
mexican,chinese,1,misc. beverages
italian,indian,2,bottled water newspapers
brazilian,filipino,9,beef pip fruit whole milk butter curd yogurt condensed milk white bread detergent
french,italian,4,tropical fruit bottled water white wine newspapers
irish,southern_us,5,rolls/buns brown bread soda misc. beverages bottled beer
mexican,french,1,canned beer
italian,mexican,6,sausage other vegetables yogurt rolls/buns soda canned beer
italian,mexican,6,sliced cheese domestic eggs rolls/buns bottled water soda potted plants
french,southern_us,7,pork other vegetables whole milk cream cheese frozen fish rolls/buns pastry
irish,southern_us,1,soda
southern_us,italian,1,rolls/buns
irish,southern_us,2,soda bottled beer
italian,southern_us,1,chocolate
italian,southern_us,4,ham turkey frozen vegetables pastry
british,southern_us,6,other vegetables whole milk margarine jam salty snack shopping bags
mexican,french,1,canned beer
mexican,french,1,canned beer
mexican,french,1,canned beer
moroccan,southern_us,12,tropical fruit pip fruit root vegetables other vegetables whole milk curd yogurt tea bottled water salty snack kitchen towels newspapers
indian,french,7,tropical fruit whole milk beverages soda salty snack specialty bar newspapers
mexican,french,2,canned beer waffles
mexican,french,2,canned beer specialty bar
southern_us,irish,2,bottled water soda
russian,southern_us,14,frankfurter hamburger meat grapes other vegetables whole milk butter milk whipped/sour cream mayonnaise white bread roll products sauces salty snack waffles chocolate
russian,southern_us,10,tropical fruit root vegetables onions other vegetables curd whipped/sour cream spread cheese white bread bottled water soda
russian,british,10,liver loaf other vegetables butter yogurt whipped/sour cream cream cheese margarine baking powder long life bakery product bathroom cleaner
southern_us,moroccan,1,shopping bags
southern_us,irish,5,tropical fruit other vegetables cream cheese baking powder long life bakery product
italian,russian,7,frankfurter sausage organic sausage white bread brown bread waffles chocolate
greek,british,4,citrus fruit curd yogurt newspapers
indian,mexican,4,whole milk curd oil margarine
southern_us,irish,7,tropical fruit berries root vegetables butter UHT-milk bottled water soda
russian,japanese,6,beef root vegetables soda fruit/vegetable juice detergent newspapers
mexican,southern_us,2,fruit/vegetable juice potted plants
indian,southern_us,6,frankfurter sausage tropical fruit root vegetables whole milk pastry
indian,russian,6,beef citrus fruit root vegetables whole milk bottled water newspapers
british,indian,5,beef whole milk pastry flour pickled vegetables
mexican,french,1,canned beer
mexican,french,1,canned beer
southern_us,italian,1,rolls/buns
mexican,italian,2,other vegetables cream cheese
mexican,cajun_creole,9,sausage whole milk spread cheese mayonnaise rolls/buns pastry pickled vegetables bottled water shopping bags
southern_us,italian,1,rolls/buns
french,greek,7,yogurt frozen dessert rolls/buns pastry soda fruit/vegetable juice napkins
indian,french,5,pork whole milk pastry sugar newspapers
italian,russian,10,tropical fruit root vegetables whole milk yogurt whipped/sour cream rolls/buns margarine sugar Instant food products bottled water
southern_us,jamaican,8,rolls/buns margarine bottled water rum red/blush wine long life bakery product waffles chocolate
indian,southern_us,4,hamburger meat whole milk misc. beverages red/blush wine
french,british,2,pip fruit pastry
indian,british,4,whole milk bottled water bottled beer newspapers
french,southern_us,1,pastry
indian,southern_us,3,whole milk sugar cat food
russian,italian,6,sausage root vegetables whole milk whipped/sour cream rolls/buns mustard
mexican,french,1,canned beer
mexican,korean,2,beef rolls/buns
mexican,french,1,canned beer
southern_us,japanese,8,frankfurter beef other vegetables cream cheese domestic eggs baking powder salty snack shopping bags
french,vietnamese,3,pastry coffee chewing gum
vietnamese,italian,6,sausage pork hard cheese rolls/buns pickled vegetables dish cleaner
italian,southern_us,2,tropical fruit bottled water
indian,southern_us,1,whole milk
french,italian,3,sausage pork white wine
french,italian,4,root vegetables other vegetables cream cheese chocolate
chinese,mexican,1,frozen meals
mexican,chinese,5,other vegetables bottled water canned beer chewing gum newspapers
italian,french,8,chicken hamburger meat herbs dessert beverages oil soda dish cleaner
mexican,italian,2,bottled water canned beer
indian,none,2,whole milk yogurt
indian,russian,3,whole milk rolls/buns bottled water
irish,italian,4,frankfurter pork brown bread potato products
italian,mexican,11,beef hamburger meat pip fruit berries other vegetables rolls/buns semi-finished bread baking powder white wine napkins cling film/bags
italian,jamaican,5,sausage berries rolls/buns chewing gum shopping bags
southern_us,mexican,16,sausage ham tropical fruit whole milk butter processed cheese rolls/buns potato products rice margarine cereals cat food fruit/vegetable juice bottled beer chocolate napkins
southern_us,italian,1,candy
italian,french,11,sausage other vegetables dessert yogurt UHT-milk cream cheese frozen vegetables rolls/buns brown bread pastry specialty bar
brazilian,mexican,9,citrus fruit dessert yogurt UHT-milk frozen vegetables frozen fish zwieback spices waffles
french,italian,7,sausage ham sliced cheese frozen fish rolls/buns margarine mustard
indian,irish,8,other vegetables whole milk yogurt ice cream brown bread pastry soda newspapers
indian,italian,3,sausage whole milk rolls/buns
indian,moroccan,6,other vegetables whole milk rolls/buns skin care dishes flower (seeds)
mexican,french,1,canned beer
mexican,chinese,2,detergent photo/film
southern_us,italian,15,citrus fruit tropical fruit pip fruit root vegetables packaged fruit/vegetables dessert yogurt UHT-milk hard cheese mayonnaise domestic eggs spices canned vegetables fruit/vegetable juice candy
indian,italian,11,beef root vegetables herbs other vegetables whole milk butter rolls/buns brown bread bottled beer long life bakery product potted plants
southern_us,french,6,other vegetables packaged fruit/vegetables brown bread pastry light bulbs newspapers
mexican,british,1,bottled beer
indian,southern_us,2,other vegetables whole milk
mexican,southern_us,2,fruit/vegetable juice waffles
mexican,chinese,1,misc. beverages
indian,southern_us,6,tropical fruit berries whole milk butter butter milk brown bread
french,southern_us,3,pip fruit pastry margarine
russian,southern_us,8,sausage chicken other vegetables whole milk whipped/sour cream domestic eggs rolls/buns house keeping products
indian,japanese,6,root vegetables whole milk hard cheese sauces bottled water fruit/vegetable juice
southern_us,indian,3,zwieback cat food dish cleaner
mexican,chinese,9,chicken beef tropical fruit other vegetables soft cheese pickled vegetables bottled water detergent newspapers
indian,greek,5,tropical fruit yogurt UHT-milk bottled water soda
southern_us,indian,10,tropical fruit butter milk beverages bottled water fruit/vegetable juice salty snack chewing gum napkins newspapers shopping bags
chinese,italian,2,root vegetables rolls/buns
mexican,french,1,canned beer
indian,italian,7,beef pip fruit root vegetables whole milk soft cheese bottled beer detergent
southern_us,french,9,hamburger meat root vegetables whole milk yogurt brown bread pastry bottled beer specialty chocolate flower (seeds)
italian,southern_us,6,other vegetables ice cream brown bread soda house keeping products newspapers
mexican,indian,1,liquor (appetizer)
chinese,italian,8,pip fruit root vegetables frozen vegetables rolls/buns semi-finished bread soda white wine newspapers
mexican,chinese,1,newspapers
russian,italian,11,turkey tropical fruit root vegetables other vegetables butter whipped/sour cream hard cheese ketchup fruit/vegetable juice candy napkins
cajun_creole,southern_us,4,rolls/buns margarine bottled water bottled beer
italian,irish,2,sausage soda
moroccan,jamaican,4,beef margarine bottled beer flower (seeds)
indian,southern_us,5,whole milk yogurt brown bread chocolate newspapers
southern_us,italian,4,whole milk rolls/buns baking powder chocolate
indian,southern_us,4,pip fruit whole milk frozen vegetables bottled water
indian,russian,3,meat whole milk rolls/buns
italian,filipino,8,hamburger meat whole milk tidbits frozen fish ice cream sauces salty snack kitchen towels
indian,southern_us,1,photo/film
italian,filipino,1,other vegetables
russian,british,3,root vegetables white bread brown bread
vietnamese,chinese,5,other vegetables white bread pickled vegetables soda shopping bags
indian,russian,6,citrus fruit pip fruit other vegetables whole milk frozen vegetables bottled water
mexican,french,1,beef
indian,vietnamese,7,frankfurter whole milk yogurt frozen vegetables coffee bottled water bottled beer
southern_us,italian,4,ham beef tropical fruit cat food
irish,french,3,soda bottled beer specialty bar
mexican,british,2,bottled beer newspapers
irish,southern_us,2,soda bottled beer
italian,chinese,9,turkey pork beef herbs other vegetables soft cheese frozen vegetables rolls/buns rice
southern_us,filipino,1,pork
southern_us,italian,13,citrus fruit tropical fruit pip fruit other vegetables curd butter milk UHT-milk frozen meals brown bread semi-finished bread spices fruit/vegetable juice hygiene articles
indian,italian,4,grapes other vegetables whole milk sugar
french,british,8,other vegetables whole milk butter domestic eggs waffles candy seasonal products detergent
russian,indian,8,root vegetables other vegetables whole milk yogurt whipped/sour cream flour long life bakery product shopping bags
italian,southern_us,1,tropical fruit
southern_us,italian,1,rolls/buns
indian,italian,2,citrus fruit other vegetables
french,italian,10,yogurt beverages domestic eggs rolls/buns pastry soda long life bakery product chocolate chocolate marshmallow napkins
japanese,indian,3,chicken beef other vegetables
russian,french,6,tropical fruit whipped/sour cream bottled water soda bottled beer potted plants
indian,italian,6,tropical fruit whole milk sauces sweet spreads chocolate newspapers
southern_us,vietnamese,3,other vegetables hard cheese newspapers
southern_us,none,3,margarine misc. beverages bottled beer
french,italian,7,pork whole milk butter domestic eggs margarine ready soups newspapers
southern_us,british,13,frankfurter hamburger meat UHT-milk mayonnaise rolls/buns pastry mustard ketchup Instant food products soda dish cleaner dental care shopping bags
mexican,russian,12,ham chicken root vegetables onions other vegetables yogurt whipped/sour cream sliced cheese frozen vegetables frozen meals ice cream newspapers
italian,french,6,cream cheese coffee chocolate candy make up remover shopping bags
italian,indian,1,bottled water
mexican,french,1,canned beer
irish,italian,3,frozen potato products rolls/buns brown bread
southern_us,brazilian,1,pip fruit
italian,french,10,citrus fruit root vegetables other vegetables coffee liquor chocolate candy seasonal products flower (seeds) shopping bags
italian,southern_us,21,frankfurter chicken pork tropical fruit pip fruit yogurt whipped/sour cream frozen vegetables semi-finished bread zwieback flour vinegar margarine pickled vegetables bottled water soda waffles chocolate chocolate marshmallow detergent napkins
indian,mexican,3,other vegetables whole milk margarine
indian,greek,9,chicken tropical fruit root vegetables other vegetables whole milk dessert yogurt pastry newspapers
southern_us,mexican,3,pip fruit other vegetables fruit/vegetable juice
japanese,russian,11,frankfurter citrus fruit other vegetables butter milk yogurt whipped/sour cream rolls/buns brown bread pickled vegetables canned fish tea
southern_us,mexican,3,frozen meals ice cream frozen potato products
italian,russian,12,root vegetables onions whole milk curd yogurt whipped/sour cream soft cheese cream cheese curd cheese frozen fish rolls/buns waffles
mexican,french,1,beef
mexican,southern_us,5,sausage fish curd processed cheese pastry
indian,vietnamese,4,whole milk frozen fish rolls/buns pickled vegetables
russian,french,9,beef root vegetables other vegetables whole milk yogurt whipped/sour cream cream cheese cat food napkins
southern_us,irish,3,pork domestic eggs soda
mexican,british,1,artif. sweetener
italian,southern_us,9,frankfurter ham tropical fruit yogurt curd cheese frozen fish zwieback margarine fruit/vegetable juice
mexican,vietnamese,3,rolls/buns canned fish canned beer
mexican,french,2,canned beer newspapers
italian,southern_us,4,mayonnaise rolls/buns soda specialty chocolate
mexican,southern_us,2,rolls/buns fruit/vegetable juice
italian,southern_us,3,sausage sliced cheese canned beer
russian,southern_us,2,hard cheese candles
southern_us,russian,7,frankfurter whole milk white bread margarine bottled beer detergent potted plants
russian,indian,9,frankfurter meat whole milk whipped/sour cream UHT-milk hard cheese coffee waffles napkins
italian,indian,2,bottled water newspapers
southern_us,italian,11,sausage pip fruit whole milk white bread salt pasta oil sugar bottled water soda bottled beer
indian,southern_us,1,whole milk
british,italian,3,citrus fruit domestic eggs jam
southern_us,filipino,1,pork
brazilian,filipino,4,condensed milk margarine fruit/vegetable juice canned beer
russian,british,14,sausage finished products pork tropical fruit other vegetables whole milk yogurt whipped/sour cream cream cheese white bread baking powder long life bakery product house keeping products potted plants
mexican,british,2,brown bread canned beer
vietnamese,indian,6,whole milk butter coffee bottled water seasonal products candles
italian,irish,6,frankfurter sausage rolls/buns brown bread soda shopping bags
french,italian,2,domestic eggs specialty chocolate
italian,none,5,sausage root vegetables beverages rolls/buns soda
indian,russian,6,other vegetables whole milk yogurt rolls/buns female sanitary products hygiene articles
irish,southern_us,3,pork semi-finished bread soda
southern_us,russian,9,other vegetables whole milk curd whipped/sour cream frozen vegetables roll products semi-finished bread salty snack seasonal products
irish,southern_us,4,frankfurter citrus fruit rolls/buns soda
korean,vietnamese,5,beef root vegetables frozen vegetables brown bread misc. beverages
italian,southern_us,10,pork salad dressing oil sauces coffee soda canned beer liquor (appetizer) candy newspapers
mexican,chinese,3,white bread misc. beverages long life bakery product
mexican,french,1,dessert
brazilian,filipino,6,pip fruit root vegetables UHT-milk condensed milk frozen fish candy
russian,french,7,sausage tropical fruit whole milk whipped/sour cream specialty cheese soda skin care
southern_us,filipino,3,frankfurter rolls/buns bottled water
italian,indian,7,chicken grapes root vegetables whole milk domestic eggs detergent newspapers
italian,mexican,8,chicken pip fruit other vegetables butter soft cheese frozen vegetables long life bakery product candles
italian,filipino,1,other vegetables
southern_us,mexican,1,house keeping products
indian,southern_us,5,pork whole milk bottled water soda napkins
mexican,indian,1,bathroom cleaner
mexican,chinese,2,beverages newspapers
italian,russian,3,butter brown bread seasonal products
